dia,casos_total,casos_dia,mortes_total,casos_suspeitos
21-Jan,,,,
22-Jan,,,,
23-Jan,,,,
24-Jan,,,,
25-Jan,,,,
26-Jan,,,,
27-Jan,,,,
28-Jan,,,,
29-Jan,,,,
30-Jan,,,,
31-Jan,,,,
01-Feb,,,,
02-Feb,,,,
03-Feb,,,,
04-Feb,,,,
05-Feb,,,,
06-Feb,,,,
07-Feb,,,,
08-Feb,,,,
09-Feb,,,,
10-Feb,,,,
11-Feb,,,,
12-Feb,,,,
13-Feb,,,,
14-Feb,,,,
15-Feb,,,,
16-Feb,,,,
17-Feb,,,,
18-Feb,,,,
19-Feb,,,,
20-Feb,,,,
21-Feb,,,,
22-Feb,,,,
23-Feb,,,,
24-Feb,,,,
25-Feb,,,,
26-Feb,,,,
27-Feb,1,,,
28-Feb,1,0,,
29-Feb,1,0,,
01-Mar,2,1,,
02-Mar,2,0,,
03-Mar,2,0,,
04-Mar,2,0,,
05-Mar,3,1,,
06-Mar,7,4,,
07-Mar,13,6,,
08-Mar,19,6,,
09-Mar,25,6,,
10-Mar,25,0,,
11-Mar,34,9,,
12-Mar,52,18,,
13-Mar,77,25,,
14-Mar,98,21,,
15-Mar,121,23,,
16-Mar,200,79,,2064
17-Mar,291,90,2,8819
18-Mar,509,218,4,8819
19-Mar,651,142,7,11278
20-Mar,977,326,11,11278